epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,877.312,1.02781,0.47572,1.0895,0.89686,0.88509,0.95424,0.57742,1.44511,0.68706,1.27434,0.000325855,0.000325855,0.000325855
123,884.346,1.01435,0.48868,1.07231,0.90146,0.90858,0.96337,0.56998,1.46549,0.66094,1.27449,0.000323711,0.000323711,0.000323711
124,891.291,1.02197,0.49606,1.06423,0.91622,0.89272,0.96999,0.58659,1.44071,0.66689,1.25716,0.00032156,0.00032156,0.00032156
125,898.37,1.01735,0.48603,1.06325,0.88544,0.92474,0.96221,0.57891,1.44093,0.68669,1.26419,0.000319403,0.000319403,0.000319403
126,905.334,1.02643,0.47297,1.07258,0.94414,0.92884,0.97787,0.59802,1.42312,0.58039,1.26804,0.000317239,0.000317239,0.000317239
127,912.373,1.02979,0.50152,1.08223,0.91974,0.8977,0.97469,0.56096,1.52676,0.679,1.33598,0.000315069,0.000315069,0.000315069
128,919.43,1.00247,0.48526,1.0729,0.92129,0.91695,0.96876,0.58059,1.4563,0.64196,1.26804,0.000312894,0.000312894,0.000312894
129,926.318,1.02062,0.49132,1.08121,0.88297,0.91913,0.95954,0.57942,1.43338,0.66909,1.27901,0.000310713,0.000310713,0.000310713
130,933.4,1.00703,0.48075,1.08212,0.88715,0.9091,0.95395,0.54437,1.51782,0.69795,1.35062,0.000308526,0.000308526,0.000308526
131,940.371,1.00638,0.4991,1.09446,0.93878,0.92274,0.98083,0.54061,1.57924,0.62886,1.35598,0.000306335,0.000306335,0.000306335
132,947.44,1.03296,0.47624,1.07441,0.92783,0.93591,0.98005,0.57099,1.48147,0.59198,1.30264,0.000304138,0.000304138,0.000304138
133,954.494,1.01543,0.46869,1.07847,0.93567,0.94558,0.98435,0.57598,1.47791,0.57891,1.28825,0.000301937,0.000301937,0.000301937
134,961.653,1.02481,0.47756,1.07804,0.9634,0.95097,0.99277,0.59193,1.46455,0.53104,1.27488,0.000299732,0.000299732,0.000299732
135,968.712,1.01747,0.47382,1.06918,0.95709,0.93703,0.98728,0.60177,1.41505,0.53998,1.24923,0.000297522,0.000297522,0.000297522
136,975.711,1.01453,0.49049,1.0789,0.94665,0.94804,0.98023,0.59916,1.41805,0.54038,1.25712,0.000295308,0.000295308,0.000295308
137,982.805,1.00915,0.47472,1.0668,0.95836,0.92805,0.98186,0.59775,1.44285,0.55302,1.24834,0.000293091,0.000293091,0.000293091
138,989.867,1.02611,0.47166,1.07183,0.963,0.91689,0.98717,0.59677,1.44649,0.59837,1.24793,0.00029087,0.00029087,0.00029087
139,996.987,1.02964,0.47383,1.079,0.95171,0.93211,0.98271,0.59442,1.44374,0.58957,1.26953,0.000288646,0.000288646,0.000288646
